ROW_ID,ROW_VERSION,projectName,id,fundingAgency,citation,doi,tumorType,diseaseFocus,featured,manifestation,studyName,title,journal,author,year,pmid
0,18,Synodos NF2,syn2343195,CTF,"Angus SP, et al. EPH receptor signaling as a novel therapeutic target in NF2-deficient meningioma. Neuro Oncol (2018).",10.1093/neuonc/noy046,Schwannoma | Meningioma,Neurofibromatosis 2,,Schwannoma | Meningioma,Synodos NF2,EPH receptor signaling as a novel therapeutic target in NF2-deficient meningioma.,Neuro-Oncology,Steven P Angus | Janet L Oblinger | Timothy J Stuhlmiller | Patrick A DeSouza | Roberta L Beauchamp | Luke Witt | Xin Chen | Justin T Jordan | Thomas S K Gilbert | Anat Stemmer-Rachamimov | James F Gusella | Scott R Plotkin | Stephen J Haggarty | Long-Sheng Chang | Gary L Johnson | Vijaya Ramesh,2018,29982664
1,18,Synodos NF2,syn2343195,CTF,"The Synodos for NF2 Consortium, et al. Traditional and systems biology based drug discovery for the rare tumor syndrome neurofibromatosis type 2. PLoS One (2018).",10.1371/journal.pone.0197350,Schwannoma | Meningioma,Neurofibromatosis 2,,Schwannoma | Meningioma,Synodos NF2,Traditional and systems biology based drug discovery for the rare tumor syndrome neurofibromatosis type 2.,PloS One,Robert Allaway | Steve P Angus | Roberta L Beauchamp | Jaishri O Blakeley | Marga Bott | Sarah S Burns | Annemarie Carlstedt | Long-Sheng Chang | Xin Chen | D Wade Clapp | Patrick A Desouza | Serkan Erdin | Cristina Fernandez-Valle | Justin Guinney | James F Gusella | Stephen J Haggarty | Gary L Johnson | Salvatore La Rosa | Helen Morrison | Alejandra M Petrilli | Scott R Plotkin | Abhishek Pratap | Vijaya Ramesh | Noah Sciaky | Anat Stemmer-Rachamimov | Tim J Stuhlmiller | Michael E Talkowski | D Bradley Welling | Charles W Yates | Jon S Zawistowski | Wen-Ning Zhao,2018,29897904
2,17,Child NF1 Quality of Life Measures,syn4939878,NTAP,"Nutakki K et al. Development of the pediatric quality of life inventory neurofibromatosis type 1 module items for children, adolescents and young adults: qualitative methods. J Neurooncol (2017)",10.1007/s11060-016-2351-2,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Child NF1 Quality of Life Measures,"Development of the pediatric quality of life inventory neurofibromatosis type 1 module items for children, adolescents and young adults: qualitative methods.",Journal of Neuro-Oncology,Kavitha Nutakki | James W Varni | Sheila Steinbrenner | Claire B Draucker | Nancy L Swigonski,2017,28078640
3,17,Child NF1 Quality of Life Measures,syn4939878,NTAP,"Draucker CB et al. The health-related quality of life of children, adolescents, and young adults with neurofibromatosis type 1 and their families: Analysis of narratives. J Spec Pediatr Nurs (2017).",10.1111/jspn.12174,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Child NF1 Quality of Life Measures,"The health-related quality of life of children, adolescents, and young adults with neurofibromatosis type 1 and their families: Analysis of narratives.",Journal for Specialists in Pediatric Nursing,Claire Burke Draucker | Kavitha Nutakki | James W Varni | Nancy L Swigonski,2017,28198162
4,20,Drug Screening of pNF Cell Lines,syn4939906,NTAP,"Ferrer M, et al. Pharmacological and genomic profiling of neurofibromatosis type 1 plexiform neurofibroma-derived schwann cells. Nature Sci Data (2018).",10.1038/sdata.2018.106,Plexiform Neurofibroma,Neurofibromatosis 1,yes,Plexiform Neurofibroma,Drug Screening of pNF Cell Lines,Pharmacological and genomic profiling of neurofibromatosis type 1 plexiform neurofibroma-derived schwann cells.,Scientific Data,Marc Ferrer | Sara J C Gosline | Marigo Stathis | Xiaohu Zhang | Xindi Guo | Rajarshi Guha | Dannielle A Ryman | Margaret R Wallace | Laura Kasch-Semenza | Haiping Hao | Roxann Ingersoll | David Mohr | Craig Thomas | Sharad Verma | Justin Guinney | Jaishri O Blakeley,2018,29893754
5,12,NF1 Dermal Neurofibroma Longitudinal Natural History Study and Selumetinib Clinical Trial,syn8012530,NTAP,"Cannon A, et al. Cutaneous neurofibromas in Neurofibromatosis type I: a quantitative natural history study. Orphanet J Rare Dis (2018).",10.1186/s13023-018-0772-z,Cutaneous Neurofibroma,Neurofibromatosis 1,,Cutaneous Neurofibroma,NF1 Dermal Neurofibroma Longitudinal Natural History Study and Selumetinib Clinical Trial,Cutaneous neurofibromas in Neurofibromatosis type I: a quantitative natural history study.,Orphanet Journal of Rare Diseases,Ashley Cannon | Mei-Jan Chen | Peng Li | Kevin P Boyd | Amy Theos | David T Redden | Bruce Korf,2018,29415745
6,0,Cutaneous Neurofibroma Data Resource,syn4984604,CTF,"Gosline SJC, et al. A high-throughput molecular data resource for cutaneous neurofibromas. Sci Data (2017).",10.1038/sdata.2017.45,Cutaneous Neurofibroma,Neurofibromatosis 1,,Cutaneous Neurofibroma,Cutaneous Neurofibroma Data Resource,A high-throughput molecular data resource for cutaneous neurofibromas.,Scientific Data,Sara J C Gosline | Hubert Weinberg | Pamela Knight | Thomas Yu | Xindi Guo | Nripesh Prasad | Angela Jones | Shristi Shrestha | Braden Boone | Shawn E Levy | Salvatore La Rosa | Justin Guinney | Annette Bakker,2017,28398289
7,0,Cutaneous Neurofibroma Data Resource,syn4984604,CTF,"Allaway RJ, et al. Cutaneous neurofibromas in the genomics era: current understanding and open questions. Br J Cancer (2018).",10.1038/s41416-018-0073-2,Cutaneous Neurofibroma,Neurofibromatosis 1,,Cutaneous Neurofibroma,Cutaneous Neurofibroma Data Resource,Cutaneous neurofibromas in the genomics era: current understanding and open questions.,British Journal of Cancer,Robert J Allaway | Sara J C Gosline | Salvatore La Rosa | Pamela Knight | Annette Bakker | Justin Guinney | Lu Q Le,2018,29695767
8,30,Synodos NF1 Preclinical Models (Iowa Sanford Exemplar),syn5610446,CTF,"White KA, et al. A porcine model of neurofibromatosis type 1 that mimics the human disease. JCI Insight (2018).",10.1172/jci.insight.120402,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Synodos NF1 Preclinical Models (Iowa Sanford Exemplar),A porcine model of neurofibromatosis type 1 that mimics the human disease.,JCI Insight,Katherine A White | Vicki J Swier | Jacob T Cain | Jordan L Kohlmeyer | David K Meyerholz | Munir R Tanas | Johanna Uthoff | Emily Hammond | Hua Li | Frank A Rohret | Adam Goeken | Chun-Hung Chan | Mariah R Leidinger | Shaikamjad Umesalma | Margaret R Wallace | Rebecca D Dodd | Karin Panzer | Amy H Tang | Benjamin W Darbro | Aubin Moutal | Song Cai | Wennan Li | Shreya S Bellampalli | Rajesh Khanna | Christopher S Rogers | Jessica C Sieren | Dawn E Quelle | Jill M Weimer,2018,29925695
9,30,Synodos NF1 Preclinical Models (Iowa Sanford Exemplar),syn5610446,CTF,"Meyerholtz DK, et al. Immunohistochemical Markers for Prospective Studies in Neurofibromatosis-1 Porcine Models. J Histochem Cytochem (2017).",10.1369/0022155417729357,Plexiform Neurofibroma,Neurofibromatosis 1,,Plexiform Neurofibroma,Synodos NF1 Preclinical Models (Iowa Sanford Exemplar),Immunohistochemical Markers for Prospective Studies in Neurofibromatosis-1 Porcine Models.,The Journal of Histochemistry and Cytochemistry,David K Meyerholz | Georgina K Ofori-Amanfo | Mariah R Leidinger | J Adam Goeken | Rajesh Khanna | Jessica C Sieren | Benjamin W Darbro | Dawn E Quelle | Jill M Weimer,2017,28846462
