ROW_ID,ROW_VERSION,studyName,studyId,studyFileviewId,studyStatus,dataStatus,studyLeads,fundingAgency,summary,summarySource,institutions,diseaseFocus,manifestation,featured,consortium,id,accessRequirements,acknowledgementStatements,relatedStudies
131,99,3D Models of Cutaneous Neurofibromas,syn11374354,syn11601495,Active,Under Embargo,Alice Soragni,NTAP,"Given the absence of therapeutic options and the heterogeneous nature of cutaneous neurofibromas (cNF), a physiological system that supports the growth of cNF tumor cells is required for drug screening efforts. We aim to adapt our optimized high-throughput 3D ring approach to develop a novel preclinical cNF model.  My laboratory has developed a robust high-throughput system to establish tumor organoids using a specific geometry to minimize sample handling and cell seeding density. By seeding cells in Matrigel in a mini-ring format we are able to routinely generate organoids from cell lines and primary samples in a format suitable for automation and high-throughput drug screenings. The approach does not necessitate of a priori cell expansion and allows to pinpoint drug sensitivities in within 5-6 days, hence avoiding most of the issues that arise from sample senescence and/or accumulation of genetic changes that can occur with prolonged time in culture. Our method is particularly suited to sustain growth of clinically relevant heterogeneous primary samples, both malignant as well as benign such as Schwann cells or fibroblasts. A single clinical sample can provide sufficient material to screen hundreds of drugs and identify individual drug susceptibilities. Here we aim to extend our proven method to cNF specimens to establish a reliable pre-clinical model. We will use primary samples obtained from NF1 patients and establish cNF organoids to elucidate disease biology and enable therapeutic testing. We anticipate collecting n=10 samples from adult NF1 patients through established collaborations with the UCLA NF clinic. We will characterize the tissues by histopathology and next generation sequencing (NGS) and determine whether the cNF 3D models recapitulate all the major features of the tumor of origin. While beyond the scope of the current project, the cNF models developed and validated here may be used in the future to perform automated high throughput 3D drug screenings to identify possible new therapeutic options for NF1 patients.",https://www.synapse.org/#!Synapse:syn11374354/wiki/488832,"University of California, Los Angeles",Neurofibromatosis 1,Cutaneous Neurofibroma,,,syn11374354,Accessing the data from this study requires a Synapse account.,,"syn8016635, syn11374333"
132,99,Synodos NF2,syn2343195,syn11614200,Completed,Published,Jaishri Blakeley | Wade Clapp | James Gusella | Scott Plotkin,CTF,"Synodos for NF2 is a first-of-its-kind neurofibromatosis research collaboration dedicated to defeating the rare genetic disorder neurofibromatosis type 2 (NF2). This unique consortium brings together a multidisciplinary team of scientists from twelve world-class labs at academic and medical centers of excellence, who have pledged to work closely together - sharing information, datasets, results and more - at every step in research development, with the goal of speeding up the drug discovery process. The end goal of this effort is to find new approaches to the diagnosis and treatment of two primary NF2-related tumors: schwannoma and meningioma. The expectation is to take the work from discovery to pre-clinical development, resulting in the development of an Investigational New Drug (IND) for NF2. Presently, two of three data releases have been conducted, with high-throughput drug screening data and more gene expression/kinomics data to be released in the future.",https://www.synapse.org/#!Synapse:syn2343195/wiki/62125,Johns Hopkins Medical Institute | Indiana University | Massachusetts General Hospital | Harvard Medical School | University of Central Florida | FLI-Leibniz-Germany | University of North Carolina | Ohio State University | Sage Bionetworks | Children's Tumor Foundation,Neurofibromatosis 2,Schwannoma | Meningioma,yes,,syn2343195,Accessing the data from this study requires a Synapse account.,"If you use data from this study in a publication or talk, please cite the following publication: ""The Synodos for NF2 Consortium, et al. (2018) Traditional and systems biology based drug discovery for the rare tumor syndrome neurofibromatosis type 2. PLoS ONE 13(6): e0197350. https://doi.org/10.1371/journal.pone.0197350."" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""","syn11817821, syn5562324"
133,99,A Nerve Sheath Tumor Bank from Patients with NF1,syn4939902,syn13363852,Active,Published,Christine Pratilas,NTAP,"Surgery is currently the only treatment option for NF patients with symptomatic plexiform neurofibromas (PNs). Progress developing nonsurgical therapy for PNs has been limited by a number of factors including 1) the lack of cell culture based models of PN, 2) a limited number of animal models of PN, and 3) limited access of investigators to primary PN tissue from NF1 patients. Although progress is being made in the development and utilization of animal models and cell culture models, the limited availability of primary patient tissue remains a gap. The goal of this project is to establish a biospecimen and xenograft bank from NF1 patients with PN and malignant peripheral nerve sheath tumors and to increase accessibility of these tissues to the research community through a collaboration with the CTF tissue repository.",https://www.synapse.org/#!Synapse:syn4939902/wiki/235907,Johns Hopkins Medical Institute,Neurofibromatosis 1,Plexiform Neurofibroma | MPNST | Cutaneous Neurofibroma,yes,,syn4939902,Accessing the data from this study requires a Synapse account. You must also [request access](https://www.synapse.org/#!Synapse:syn7231973/wiki/588793) from the study investigators.,"If you use data from this study in a publication or talk, please cite the following preprint: ""Pollard, K, et al. A clinically and genomically annotated nerve sheath tumor biospecimen repository. bioRxiv 2019.12.19.871897; doi: https://doi.org/10.1101/2019.12.19.871897."" In addition, please acknowledge the NF Data Portal using the following statement: ""The results published here are in whole or in part based on data obtained from the NF Data Portal (http://www.nfdataportal.org) and made available through the NF Open Science Initiative.""","syn4939884, syn7217935"
134,99,A Robust Plexiform Neurofibroma Model for Preclinical Drug Screening,syn8016635,syn12582871,Completed,Under Embargo,Lu Le,NTAP,"We utilized a genetically engineered mouse model as a tool to identify the cell of origin for plexiform neurofibroma. Using genetic labeling for cell-lineage tracing, we showed that the embryonic GAP43+PLP+ Schwann cell precursors originate from dorsal spinal nerve roots are the cells of origin for plexiform neurofibromas. Our studies point to the importance of stem cells and their immediate progenitors in the initiation of tumors, consistent with the notion that these neoplasms originate in a subset of primitive precursors and that most cells in an organ do not generate tumors. The identity of the tumor cell of origin and facility for isolation and expansion of these DRG/nerve root neurosphere cells (DNSCs), which contain the embryonic GAP43+PLP+ Schwann cell precursors, allow us to reconstruct all the biological steps from the original cells to tumor stage to delineate mechanism of neurofibromagenesis. Most importantly, the ability to isolate embryonic PLP+ GAP43+ cells for ex vivo expansion and Nf1 ablation to generate classic sciatic plexiform neurofibromas provides a reliable and robust non-germline neurofibroma model for in vivo drug screening with a quantifiable and reproducible outcome measure (via bioluminescent scan) to select lead compounds for clinical assessment. In this application, we propose to establish the utility of this non-germline plexiform neurofibroma (pNF) model as a rapid preclinical therapeutic drug screening tool to identify effective therapies for pNF. To achieve this goal, we will first explore the possibility of long term storage of DNSCs to maintain their tumorigenic potential for reliable and rapid plexiform neurofibromagenesis. Next, we will develop it into a robust plexiform neurofibroma model for preclinical drug screening by testing therapeutic effects of different pharmacological interventions.",https://www.synapse.org/#!Synapse:syn8016635/wiki/411638,University of Texas Southwestern Medical Center,Neurofibromatosis 1,Plexiform Neurofibroma,,,syn8016635,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,"syn11374354, syn11374333"
135,99,Acceptance and Commitment Therapy in NF1,syn4939896,syn15666830,Active,None,Staci Martin,NTAP,"NF1-related pain is often not well-controlled with medication and many of the medications cause significant side effects. To our knowledge, only one prior study (by our group) has examined the effectiveness of a psychological intervention for chronic pain in adolescents and young adults (AYA) with NF1 and PNs. Acceptance and Commitment Therapy (ACT) is a type of therapy that focuses on encouraging individuals to engage in more adaptive ways of coping with pain. The goal of ACT is not to eliminate the person's pain, but to optimize the person's functioning despite their pain. This study is examining the impact of an 8-week ACT intervention on pain interference and other variables among AYA ages 16-34 years with NF1, one or more PNs, and chronic pain. We also are exploring the role of heart rate variability (HRV), which is a physiological marker of pain, in this population. The goal of this project is to establish ACT's effectiveness as a psychological intervention tool targeting chronic pain in patients with NF1/PN, in order to improve daily functioning and pain interference. Our primary goal is to compare changes in pain interference scores from pre- to post- intervention between the ACT group and the waitlist (WL) group. Secondary aims include examining baseline to post-treatment changes in quality of life, pain severity, depression, pain-related anxiety, and HRV, assessed by electrocardiogram (ECG); comparing the ACT and WL groups on pre-post changes in quality of life, pain intensity, depression, pain-related anxiety, and HRV; and examining the relationships of HRV with pain and psychosocial variables.",https://www.synapse.org/#!Synapse:syn4939896/wiki/235904,National Institutes of Health,Neurofibromatosis 1,Plexiform Neurofibroma,,,syn4939896,,,syn4939912
136,99,Can Targeted Therapy Prevent Neurofibroma Growth,syn4939872,syn19554982,Completed,None,Nancy Ratner,NTAP,"Preliminary efficacy studies conducted through the NFTC showed that DhhCre;Nf1fl/fl;Stat3fl/fl mice had minimal nerve disruption and, although neurofibromas formed, they were dramatically reduced in size as compared to those in DhhCre;Nf1fl/fl mice. As a result, the hypothesis was formulated that Stat3 inhibition using a Stat3 Antisense RNA will prevent tumor formation in a mouse neurofibroma model. The inhibitor, AZD 9150 / ISIS 481464 showed efficacy in multiple myeloma and is in Phase1/1b trials in other cancers. If this same inhibitor shows efficacy in preventing tumor formation, pre-clinical studies will be executed to assess dosing strategies for limited duration.",https://www.synapse.org/#!Synapse:syn4939872/wiki/235892,Cincinnati Children's Hospital Medical Hospital,Neurofibromatosis 1,Plexiform Neurofibroma,,,syn4939872,,,syn18904024
137,99,Child NF1 Quality of Life Measures,syn4939878,syn9922960,Completed,None,Nancy Swigonski,NTAP,"To develop and test the feasibility, reliability and validity of the child self-report and parent proxy-report versions of the Pediatric Quality of Life InventoryTM (PedsQL-TM) NF1 module for pediatric patients ages 5-25 with NF1 from the perspectives of patients and parents. The PedsQL(TM) NF1 Module Scales demonstrated acceptable to excellent measurement properties, and may be utilized as standardized metrics to assess NF1-specific symptoms and problems in clinical research and practice in children, adolescents, and young adults. The PedsQL(TM) NF1 Module will have a significant impact on the design of clinical trials targeted to better understand and improve clinical treatment for NF1.",https://www.synapse.org/#!Synapse:syn4939878/wiki/235895,Indiana University,Neurofibromatosis 1,Plexiform Neurofibroma,,,syn4939878,,,"syn4939880, syn4939888, syn12051335"
138,99,Combination Index Validation Studies,syn4939876,syn8449585,Completed,Under Embargo,Wade Clapp,NTAP,"Preliminary High-throughput screening (HTS) data generated at National Center for Advancing Translational Sciences (NCATS) implicated a number of different compounds as potential candidates and combinations suitable for moving forward to preclinical testing, with nine combinations prioritized for validation in murine primary embryonic Schwann cell lines and/or immortalized cell lines. The goal of these experiments was to validate the results of preliminary HTS at NIH/NCATS by Dr. Ferrer.",https://www.synapse.org/#!Synapse:syn4939876/wiki/235894,Indiana University,Neurofibromatosis 1,Plexiform Neurofibroma,,,syn4939876,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,"syn8016599, syn7239479, syn4939904, syn11374349"
139,99,"Cutaneous Neurofibroma - Models, Biology, and Translation",syn11374333,syn11601447,Active,Under Embargo,Lu Le,NTAP,"There are still gaps in our knowledge of cNF pathogenesis that could be addressed by the adoption of a systemic approach to decipher all the biological steps in cNF development from the cell of origin to tumor stage to identify the rate limiting step that can be therapeutically targeted to prevent or delay cNF formation. Therefore, in this application, we propose a set specific aims to fill this knowledge gap: We will define the identity of the cNF cell of origin in mice that will guide us to identify the cells of origin for human cNF. We will next decipher how the cell of origin and the tumor microenvironment contribute to drive cNF initiation that will uncover its pathogenesis to delineate biological steps and mechanisms in tumor development as well as generating of preclinical models system that elucidate cNF biology and enable preclinical therapeutic testing. Our overall project will advance via two parallel but interwoven efforts: (1) Characterize cNF cell of origin to trace their developmental origin as well as to define their phenotypes and interactions with the tumor microenvironment. This will provide a framework for elucidating the functional contributions of cNF cell of origin in neurofibroma development. (2) To determine biological steps that are critical for cNF development. A major innovation in our work is linking these approaches in a synergistic manner to our novel neurofibroma models that can be used broadly to decipher the pathogenesis as well as pre-clinical models for therapeutic testing.",https://www.synapse.org/#!Synapse:syn11374333/wiki/488806,University of Texas Southwestern Medical Center,Neurofibromatosis 1,Cutaneous Neurofibroma,,,syn11374333,The data from this study is currently under embargo. Please contact the principal investigator for access to the data.,,"syn11374354, syn8016635"
140,99,Deconstruction and Reconstruction of NF1 cNFs,syn11374357,syn11601503,Active,None,Raymond Mattingly,NTAP,"Our goal is to substantially increase understanding of the pathophysiology of the cutaneous neurofibromas (cNFs) that are a major burden to many patients with type 1 neurofibromatosis (NF1). We will do this by first deconstructing human cNFs through single-cell transcriptomics (scRNA-Seq) to rigorously define the cell populations and sub-populations in these complex tumors. We will then develop three-dimensional (3D) co-culture models of these tumors as a step toward pathomimetic systems for more accurate preclinical therapeutic screening.The goal of the first aim is to use scRNA-Seq to develop an unbiased portrait of the cellular composition of NF1 cNFs. Each tumor that is deconstructed will be a milestone along the way to reaching that goal. We anticipate that at least 8 tumors will need to be deconstructed to take account of the high degree of heterogeneity in the these tumors. Approximately 10,000 cells from each sample will be subject to scRNA-Seq, with the rest used for development of primary cNF cells and fibroblasts for use in Aim Two. The second aim has the goal of development of pathomimetic avatars of NF1 cNFs that will be useful for therapeutic testing. The number and complexity of the avatars required will be determined by the results of the scRNA-Seq. Milestones will be successful development of 3D culture and co-culture conditions for the cell types and of quantitative assays for their morphology, proliferation, and apoptosis.",https://www.synapse.org/#!Synapse:syn11374357/wiki/488836,Wayne State University,Neurofibromatosis 1,Cutaneous Neurofibroma,,,syn11374357,,,"syn11374353, syn11374339, syn4939910"
